Header Name,Extracted Data
SUITE UPGRADE,"Corner deluxe bay-view roomAvg. price$
                                  1,200"
SUITE VIEW,
SUITE VIEW,"Deluxe water viewAvg. price$
                                689"
SUITE VIEW,"1 king bed 1 bedroom executive suiteAvg. price$
                                671"
SUITE VIEW,
SUITE VIEW,"Deluxe suite kingJunior suite bay viewAvg. price$
                                749"
SUITE VIEW,"Connecting space needle suite + deluxe double space needleDenny park one bedroom penthouse suiteSpace needle one bedroom suiteAvg. price$
                                996"
SUITE VIEW,"Accessible terrace king suiteAvg. price$
                                535"
SUITE VIEW,"Over water junior suiteWaterfront junior suite- roll-in showerAvg. price$
                                689"
SUITE VIEW,
SUITE VIEW,"Cityscape penthouse - 1 king bedKing street penthouse - 2 kings / 2 bedroomsAvg. price$
                                1,498"
SUITE VIEW,
SUITE VIEW,"Corner elliott bay suiteDeluxe elliott bay suiteAvg. price$
                                  2,665"
SUITE BEST,
SUITE BEST,"Deluxe water view deck roomOne bedroom water view suiteAvg. price$
                                772"
SUITE BEST,"1 king bed deluxe junior suite water viewAvg. price$
                                720"
SUITE BEST,"Ada view suite showerWater view studioAvg. price$
                                1,330"
SUITE BEST,"Accessible premier king suitePremier king suitePremier suite queen queenAvg. price$
                                1,035"
SUITE BEST,"1se - terrace one bedroom suiteAvg. price$
                                1,155"
SUITE BEST,
SUITE BEST,"Beatles suiteExecutive waterfront suiteAvg. price$
                                1,227"
SUITE BEST,
SUITE BEST,"Water view penthouse - 1 king/ hearing accessAvg. price$
                                1,876"
SUITE BEST,"Belltown suiteAvg. price$
                                497"
SUITE BEST,"Governor's suiteTwo-bedroom deluxe elliott bay suiteAvg. price$
                                  5,078"
